id,quest_id,seq_index,text
21,22,0,{0xFFFFFF00}利刃术是在装备剑时，使攻击力自动上升的武功{END}。和武士转职NPC完成对话后，才能学习利刃术。
22,23,0,{0xFFFFFF00}霸刀术是在装备刀时，使攻击力自动提升的武功{END}。和武士转职NPC完成对话后，才能学习霸刀术。
23,24,0,{0xFFFFFF00}剑气穿心是可以举剑贯穿攻击前方敌人的武功{END}。和武士转职NPC完成对话后，才能学习剑气穿心。
24,25,0,{0xFFFFFF00}裂空斩是可以提刀给前方敌人造成额外伤害的武功{END}。和武士转职NPC完成对话后，才能学习裂空斩。
25,26,0,{0xFFFFFF00}开山突击是举剑后可以连续两次攻击前方敌人的武功{END}。和武士转职NPC完成对话后，才能学习开山突击。
26,27,0,{0xFFFFFF00}点穴定身是提刀攻击时有一定几率使对手定身的武功{END}。和武士转职NPC完成对话后，才能学习点穴定身。
27,28,0,{0xFFFFFF00}狂暴怒气是降低自己的防御力，同时提升攻击力的武功{END}。和武士转职NPC完成对话后，才能学习狂暴怒气。
28,29,0,气力转换是使用自己的体力来恢复鬼力的武功{END}。和武士转职NPC完成对话后，才能学习气力转换。
29,30,0,{0xFFFFFF00}强气护体是可以将自己的防御力提升到最高值的武功{END}。和武士转职NPC完成对话后，才能学习强气护体。
30,31,0,{0xFFFFFF00}强化格挡是在防御时增加格挡数值的武功{END}。和武士转职NPC完成对话后，才能学习强化格挡。
31,32,0,{0xFFFFFF00}鬼手术是装备暗器时可以自动提升射程和攻击力的内功武功{END}。和刺客转职NPC完成对话后，才能学习鬼手术。
32,33,0,{0xFFFFFF00}利爪术是装备爪后攻击力自动上升的内功武功{END}。和刺客转职NPC完成对话后，才能学习利爪术。
33,34,0,{0xFFFFFF00}索命贯击是装备暗器后能给前方敌人贯穿攻击的武功{END}。和刺客转职NPC完成对话后，才能学习索命贯击。
34,35,0,{0xFFFFFF00}崩击爪是装备爪后能加倍给敌人攻击的武功{END}。和刺客转职NPC完成对话后，才能学习崩击爪。
35,36,0,{0xFFFFFF00}双镖飞击是装备暗器后可以发射2个暗器的武功{END}。和刺客转职NPC完成对话后，才能学习双镖飞击。
36,37,0,{0xFFFFFF00}疾刺爪是装备爪武器后可以快速接近并攻击的武功{END}。和刺客转职NPC完成对话后，才能学习疾刺爪。
37,38,0,{0xFFFFFF00}喂毒术是给自己的武器上擦毒后进行攻击的武功{END}。和刺客转职NPC完成对话后，才能学习喂毒术。
38,39,0,{0xFFFFFF00}解毒术是中毒时可以解毒的武功{END}。和刺客转职NPC完成对话后，才能学习解毒术。
39,40,0,{0xFFFFFF00}雾影术是可以隐藏自己身形移动的武功{END}。和刺客转职NPC完成对话后，才能学习雾影术。
40,41,0,{0xFFFFFF00}闪击技使可以提升回避对手攻击几率的武功{END}。和刺客转职NPC完成对话后，才能学习闪击技。
41,42,0,{0xFFFFFF00}扇魂术是装备扇后可以提升魔攻力的内功武功{END}。和道士转职NPC完成对话后，才能学习扇魂术。
42,44,0,{0xFFFFFF00}玄冰击是装备杖后可以用冰箭攻击位于前方的敌人的武功{END}。和道士转职NPC完成对话后，才能学习玄冰击。
43,45,0,{0xFFFFFF00}火箭矢是装备扇后可以用火箭矢攻击前方一定距离内的敌人的武功{END}。和道士转职NPC完成对话后，才能学习火箭矢。
44,46,0,{0xFFFFFF00}冰冻大地是用冰攻击一定距离内多数敌人的武功{END}。和道士转职NPC完成对话后，才能学习冰冻大地。
45,47,0,{0xFFFFFF00}蒙蔽蚀眼是在一定时间内阻碍敌人视线的武功{END}。和道士转职NPC完成对话后，才能学习蒙蔽蚀眼。
46,48,0,{0xFFFFFF00}震退是打击敌人并将其推出一定距离以外的武功{END}。和道士转职NPC完成对话后，才能学习震退。
47,49,0,{0xFFFFFF00}瞬移术是可以从当前位置移动到任意位置的武功{END}。和道士转职NPC完成对话后，才能学习瞬移术。
48,50,0,{0xFFFFFF00}防护加持是提升整队成员防御力的武功{END}。和道士转职NPC完成对话后，才能学习防护加持。
49,51,0,{0xFFFFFF00}阴阳幻移是消耗自己的鬼力来恢复体力的武功{END}。和道士转职NPC完成对话后，才能学习阴阳幻移。
61,60,0,收集{0xFFFFFF00}15个[ 山参 ]{END}交给{0xFFFFFF00}[ 冥珠城宝芝林 ]{END}。
62,60,1,把推荐书交给清阴关的{0xFFFFFF00}[ 白斩姬 ]{END}。
66,64,0,收集{0xFFFFFF00}15个[ 山参 ]{END}交给{0xFFFFFF00}[ 冥珠城宝芝林 ]{END}。
67,64,1,把推荐书交给清阴关的{0xFFFFFF00}[ 乌骨鸡 ]{END}。
76,73,0,收集10个{0xFFFFFF00}[可爱的兔娃娃]{END}，回到{0xFFFFFF00}[清阴关害了了防具店]{END}。
77,74,0,收集10个{0xFFFFFF00}[可爱的兔娃娃]{END}，回到{0xFFFFFF00}[清阴关害了了防具店]{END}。
78,75,0,把{0xFFFFFF00}中药材拿给冥珠城宝芝林{END}。
83,80,0,为了治好老婆婆的腰，要从{0xFFFFFF00}[ 冥珠城宝芝林 ]{END}买到药。
84,80,1,冥珠城宝芝林说过有{0xFFFFFF00}20个[ 夺命鬼萝莉的舌头 ]{END}就能调制出治疗老婆婆的腰的药的？快去收集回来吧。
85,81,0,想知道道名寺的秘密。{0xFFFFFF00}武器店{END}会不会知道啊？
86,81,1,想知道道名寺的秘密。{0xFFFFFF00}冥珠城宝芝林{END}知道那个秘密？
87,81,2,想知道道名寺的秘密。{0xFFFFFF00}薇薇安{END}会不会知道呢？
118,107,0,把{0xFFFFFF00}斧头{END}还给在龙林山某处的{0xFFFFFF00}樵夫{END}。
119,107,1,去{0xFFFFFF00}土地公{END}那儿把樵夫让他不要偷看的话传一下吧。
123,109,0,为了仙女去{0xFFFFFF00}樵夫{END}那儿把丢失的仙女衣找回来吧。
124,109,1,一件衣服要击退{0xFFFFFF00}20只[桶装黄鼠狼]{END}…没办法，帮人办事儿。击退桶装黄鼠狼后去找樵夫。
125,110,0,封印猴子形状的猴赛雷，收集{0xFFFFFF00}1张猴赛雷符咒{END}。
128,112,0,收集蛇腹窟内饱含大地之力的20个{0xFFFFFF00}李无极的精气{END}，拿给清阴关邪派建筑的{0xFFFFFF00}乌骨鸡{END}处。
129,113,0,收集蛇腹窟内饱含大地之力的20个{0xFFFFFF00}李无极的精气{END}，拿给清阴关正派建筑的{0xFFFFFF00}白斩姬{END}处。
134,118,0,帮助龙林谷入口的{0xFFFFFF00}[ 受伤的工人 ]{END}和{0xFFFFFF00}[ 冥珠城宝芝林 ]{END}，然后拿着证书和证明去找{0xFFFFFF00}[ 白斩姬 ]{END}学习{0xFFFFFF00}[ 飞龙掌 ]{END}吧。
135,119,0,帮助龙林谷入口的{0xFFFFFF00}[ 受伤的工人 ]{END}和{0xFFFFFF00}[ 冥珠城宝芝林 ]{END}，然后拿着证书和证明去找{0xFFFFFF00}[ 白斩姬 ]{END}学习{0xFFFFFF00}[ 飞龙掌 ]{END}吧。
136,120,0,帮助龙林谷入口的{0xFFFFFF00}[ 受伤的工人 ]{END}和{0xFFFFFF00}[ 冥珠城宝芝林 ]{END}，然后拿着证书和证明去找{0xFFFFFF00}[ 白斩姬 ]{END}学习{0xFFFFFF00}[ 飞龙掌 ]{END}吧。
137,121,0,帮受伤的工人收集{0xFFFFFF0040个}[ 冥珠符 ]和40个[ 肉干 ]{END}。
138,122,0,收集{0xFFFFFF00}25个[ 大胡子的牙齿 ]{END}和{0xFFFFFF00}25个[ 夺命鬼萝莉的舌头 ]{END}拿给冥珠城东边的{0xFFFFFF00}[ 冥珠城宝芝林 ]{END}吧。
139,123,0,帮助龙林谷入口的{0xFFFFFF00}[ 受伤的工人 ]{END}和{0xFFFFFF00}[ 冥珠城宝芝林 ]{END}，拿到证书和证明之后回到清阴关的{0xFFFFFF00}[ 乌骨鸡 ]{END}处。
140,124,0,帮助龙林谷入口的{0xFFFFFF00}[ 受伤的工人 ]{END}和{0xFFFFFF00}[ 冥珠城宝芝林 ]{END}，拿到证书和证明之后回到清阴关的{0xFFFFFF00}[ 乌骨鸡 ]{END}处。
141,125,0,帮助龙林谷入口的{0xFFFFFF00}[ 受伤的工人 ]{END}和{0xFFFFFF00}[ 冥珠城宝芝林 ]{END}，拿到证书和证明之后回到清阴关的{0xFFFFFF00}[ 乌骨鸡 ]{END}处。
142,126,0,给龙林谷入口的{0xFFFFFF00}[ 受伤的工人 ]{END}收集{0xFFFFFF00}40个[ 冥珠符 ]{END}和{0xFFFFFF00}40个[ 肉干 ]{END}吧。
143,127,0,收集{0xFFFFFF00}25个[ 大胡子的牙齿 ]{END}和{0xFFFFFF00}25个[ 夺命鬼萝莉的舌头 ]{END}拿给冥珠城东边的{0xFFFFFF00}[ 冥珠城宝芝林 ]{END}吧。
153,136,0,在有很多醉酒的人，又红又嘈杂的地方找找{0xFFFFFF00}'南呱湃'{END}吧。
187,167,0,成为侠客的第一步。收集{0xFFFFFF00}1张鸡冠呛符咒{END}，交给白斩姬。
188,168,0,在清野江的钓鱼场里钓{0xFFFFFF00}1条真鲷{END}交给{0xFFFFFF00}偷笔怪盗{END}，虽然他有点儿不太可靠，然后向白斩姬报告。
189,169,0,查看角色的{0xFFFFFF00}名声，超过100{END}的话与{0xFFFFFF00}白斩姬{END}对话吧。
